num_date_time,건물번호,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전력소비량(kWh),건물유형,연면적(m2),냉방면적(m2),태양광용량(kW),ESS저장용량(kWh),PCS용량(kW),냉방면적비율,태양광여부,ESS여부,datetime,hour,dayofweek,month,day,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,건물유형_IDC(전화국),건물유형_건물기타,건물유형_공공,건물유형_백화점,건물유형_병원,건물유형_상용,건물유형_아파트,건물유형_연구소,건물유형_학교,건물유형_호텔,lag1_kwh
1_20240601 00,1,20240601 00,18.3,0.0,2.6,82.0,0.0,0.0,5794.8,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 00:00:00,0,5,6,1,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,5326.05
1_20240601 01,1,20240601 01,18.3,0.0,2.7,82.0,0.0,0.0,5591.85,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 01:00:00,1,5,6,1,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,5794.8
1_20240601 02,1,20240601 02,18.1,0.0,2.6,80.0,0.0,0.0,5338.17,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 02:00:00,2,5,6,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,5591.85
1_20240601 03,1,20240601 03,18.0,0.0,2.6,81.0,0.0,0.0,4554.42,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 03:00:00,3,5,6,1,1,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,5338.17
1_20240601 04,1,20240601 04,17.8,0.0,1.3,81.0,0.0,0.0,3602.25,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 04:00:00,4,5,6,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,4554.42
1_20240601 05,1,20240601 05,17.7,0.0,2.2,83.0,0.0,0.0,3367.59,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 05:00:00,5,5,6,1,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,3602.25
1_20240601 06,1,20240601 06,17.6,0.0,1.7,85.0,0.0,0.02,3089.4,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 06:00:00,6,5,6,1,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,3367.59
1_20240601 07,1,20240601 07,17.7,0.0,1.2,81.0,0.0,0.22,3977.67,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 07:00:00,7,5,6,1,1,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,3089.4
1_20240601 08,1,20240601 08,18.2,0.0,1.8,78.0,0.0,0.56,4380.45,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 08:00:00,8,5,6,1,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,3977.67
1_20240601 09,1,20240601 09,19.4,0.0,2.4,70.0,0.4,1.27,4359.78,호텔,82912.71,77586.0,0.0,0.0,0,0.9357552056855939,0,0,2024-06-01 09:00:00,9,5,6,1,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0,1,4380.45
